commit	date	subject	e_hash	e_adv	gate	worst
8ce01d5	2026-09-20	albo: the TestFlight refresh was called and shipped as build 205	78e559c32c	484	ok	0.051
2bd4f9d	2026-09-20	albo: round 298 -- the entry becomes a per-letter table (owner: "vary the entry	78e559c32c	484	ok	0.051
21f5fe3	2026-09-20	albo: round 299 -- the owner's bench values, and the kern quantum corrected 16x	78e559c32c	484	ok	0.051
1a7cf31	2026-09-20	albo: round 301 -- every common pair, measured off his own books (owner: "give 	78e559c32c	484	ok	0.051
2228735	2026-09-20	albo: round 302 -- 189 bench judgments, decomposed (owner: "updated", 2026-09-2	78e559c32c	484	ok	0.051
9938146	2026-09-20	albo: round 303 -- the bench applied as bearings, six letters and twelve pairs 	78e559c32c	495	ok	0.051
f9bd06a	2026-09-20	albo: round 304 -- the italic lowercase tracking withdrawn on 37 more judgments	78e559c32c	495	ok	0.051
6136fd5	2026-09-20	albo: ruling recorded -- no TestFlight until the spacing bench is finished (own	78e559c32c	495	ok	0.051
634e5ac	2026-09-20	albo: round 305 -- the roman 8's contrast, and why it cannot have one alone (ow	78e559c32c	495	ok	0.051
41aca6b	2026-09-20	albo: round 308 -- the bench solved as ONE system, both sides of every glyph (o	74322b2665	499	ok	0.118
23b03d9	2026-09-20	albo: round 309 -- italic ligatures removed, roman set chosen on the corpus (ow	74322b2665	499	ok	0.118
d16c272	2026-09-20	albo: round 310 -- the Th ligature withdrawn (owner: "Th ligature is worse", 20	74322b2665	499	ok	0.118
3173b07	2026-09-20	albo: the md files catch up with rounds 298-310 (owner: "update md files", 2026	74322b2665	499	ok	0.118
29280ac	2026-09-20	albo: round 311 -- four chancery ampersands for the italic, none default (owner	74322b2665	499	ok	0.118
f5a8c13	2026-09-20	albo: round 312 -- alt051 traced into the face's metrics (owner: "trace alt051 	74322b2665	499	ok	0.118
985872e	2026-09-20	albo: round 313 -- alt051's form drawn with the Albo nib (owner: "make that let	74322b2665	499	ok	0.118
2d02697	2026-09-20	albo: round 314 -- coverage against the source, and the compact et dropped (own	74322b2665	499	ok	0.118
f6ee562	2026-09-21	albo: round 315 -- more of the line, then the width itself (owner: "trace more 	74322b2665	499	ok	0.118
78d57e9	2026-09-21	albo: round 316 -- the ampersand balanced against the face (owner: "make variat	74322b2665	499	ok	0.118
8947694	2026-09-21	albo: round 317 -- the squeeze holds the left side (owner: "keep the left side 	74322b2665	499	ok	0.118
